Date,Open,High,Low,Close,Adj Close,Volume
2022-11-18,18382.949219,18394.599609,18209.800781,18307.650391,18307.650391,198800
2022-11-21,18246.400391,18262.300781,18133.349609,18159.949219,18159.949219,213800
2022-11-22,18179.150391,18261.849609,18137.699219,18244.199219,18244.199219,177700
2022-11-23,18325.199219,18325.400391,18246.000000,18267.250000,18267.250000,178800
2022-11-24,18326.099609,18529.699219,18294.250000,18484.099609,18484.099609,204000
2022-11-25,18528.449219,18534.900391,18445.099609,18512.750000,18512.750000,205900
2022-11-28,18430.550781,18614.250000,18365.599609,18562.750000,18562.750000,206500
2022-11-29,18552.449219,18678.099609,18552.150391,18618.050781,18618.050781,195300
2022-11-30,18625.699219,18816.050781,18616.550781,18758.349609,18758.349609,345600
2022-12-01,18871.949219,18887.599609,18778.199219,18812.500000,18812.500000,325000
2022-12-02,18752.400391,18781.949219,18639.199219,18696.099609,18696.099609,254400
2022-12-05,18719.550781,18728.599609,18591.349609,18701.050781,18701.050781,288400
2022-12-06,18600.650391,18654.900391,18577.900391,18642.750000,18642.750000,217800
2022-12-07,18638.849609,18668.300781,18528.400391,18560.500000,18560.500000,200500
2022-12-08,18570.849609,18625.000000,18536.949219,18609.349609,18609.349609,202800
2022-12-09,18662.400391,18664.699219,18410.099609,18496.599609,18496.599609,215800
2022-12-12,18402.150391,18521.550781,18345.699219,18497.150391,18497.150391,193900
2022-12-13,18524.400391,18617.250000,18490.199219,18608.000000,18608.000000,187600
2022-12-14,18671.250000,18696.099609,18632.900391,18660.300781,18660.300781,208000
2022-12-15,18614.400391,18652.900391,18387.699219,18414.900391,18414.900391,183100
2022-12-16,18319.099609,18440.949219,18255.150391,18269.000000,18269.000000,277700
2022-12-19,18288.099609,18431.650391,18244.550781,18420.449219,18420.449219,154800
2022-12-20,18340.300781,18404.900391,18202.650391,18385.300781,18385.300781,169000
2022-12-21,18435.150391,18473.349609,18162.750000,18199.099609,18199.099609,187600
2022-12-22,18288.800781,18318.750000,18068.599609,18127.349609,18127.349609,195700
2022-12-23,17977.650391,18050.449219,17779.500000,17806.800781,17806.800781,221500
2022-12-26,17830.400391,18084.099609,17774.250000,18014.599609,18014.599609,176700
2022-12-27,18089.800781,18149.250000,17967.449219,18132.300781,18132.300781,214300
2022-12-28,18084.750000,18173.099609,18068.349609,18122.500000,18122.500000,193900
2022-12-29,18045.699219,18229.699219,17992.800781,18191.000000,18191.000000,281100
2022-12-30,18259.099609,18265.250000,18080.300781,18105.300781,18105.300781,192000
2023-01-02,18131.699219,18215.150391,18086.500000,18197.449219,18197.449219,256100
2023-01-03,18163.199219,18251.949219,18149.800781,18232.550781,18232.550781,208700
2023-01-04,18230.650391,18243.000000,18020.599609,18042.949219,18042.949219,235200
2023-01-05,18101.949219,18120.300781,17892.599609,17992.150391,17992.150391,269900
2023-01-06,18008.050781,18047.400391,17795.550781,17859.449219,17859.449219,238200
2023-01-09,17952.550781,18141.400391,17936.150391,18101.199219,18101.199219,257200
2023-01-10,18121.300781,18127.599609,17856.000000,17914.150391,17914.150391,283300
2023-01-11,17924.250000,17976.349609,17824.349609,17895.699219,17895.699219,259900
2023-01-12,17920.849609,17945.800781,17761.650391,17858.199219,17858.199219,227800
2023-01-13,17867.500000,17999.349609,17774.250000,17956.599609,17956.599609,256700
2023-01-16,18033.150391,18049.650391,17853.650391,17894.849609,17894.849609,206200
2023-01-17,17922.800781,18072.050781,17886.949219,18053.300781,18053.300781,219100
2023-01-18,18074.300781,18183.750000,18032.449219,18165.349609,18165.349609,255800
2023-01-19,18119.800781,18155.199219,18063.750000,18107.849609,18107.849609,237800
2023-01-20,18115.599609,18145.449219,18016.199219,18027.650391,18027.650391,237200
2023-01-23,18118.449219,18162.599609,18063.449219,18118.550781,18118.550781,202500
2023-01-24,18183.949219,18201.250000,18078.650391,18118.300781,18118.300781,216900
2023-01-25,18093.349609,18100.599609,17846.150391,17891.949219,17891.949219,257200
2023-01-27,17877.199219,17884.750000,17493.550781,17604.349609,17604.349609,476300
2023-01-30,17541.949219,17709.150391,17405.550781,17648.949219,17648.949219,432400
2023-01-31,17731.449219,17735.699219,17537.550781,17662.150391,17662.150391,398300
2023-02-01,17811.599609,17972.199219,17353.400391,17616.300781,17616.300781,512900
2023-02-02,17517.099609,17653.900391,17445.949219,17610.400391,17610.400391,490100
2023-02-03,17721.750000,17870.300781,17584.199219,17854.050781,17854.050781,424100
2023-02-06,17818.550781,17823.699219,17698.349609,17764.599609,17764.599609,282500
2023-02-07,17790.099609,17811.150391,17652.550781,17721.500000,17721.500000,354400
2023-02-08,17750.300781,17898.699219,17744.150391,17871.699219,17871.699219,291000
2023-02-09,17885.500000,17916.900391,17779.800781,17893.449219,17893.449219,260900
2023-02-10,17847.550781,17876.949219,17801.000000,17856.500000,17856.500000,232000
2023-02-13,17859.099609,17880.699219,17719.750000,17770.900391,17770.900391,231300
2023-02-14,17840.349609,17954.550781,17800.050781,17929.849609,17929.849609,244500
2023-02-15,17896.599609,18034.099609,17853.800781,18015.849609,18015.849609,229300
2023-02-16,18094.750000,18134.750000,18000.650391,18035.849609,18035.849609,230200
2023-02-17,17974.849609,18034.250000,17884.599609,17944.199219,17944.199219,208100
2023-02-20,17965.550781,18004.349609,17818.400391,17844.599609,17844.599609,174600
2023-02-21,17905.800781,17924.900391,17800.300781,17826.699219,17826.699219,198200
2023-02-22,17755.349609,17772.500000,17529.449219,17554.300781,17554.300781,204000
2023-02-23,17574.650391,17620.050781,17455.400391,17511.250000,17511.250000,240800
2023-02-24,17591.349609,17599.750000,17421.800781,17465.800781,17465.800781,209400
2023-02-27,17428.599609,17451.599609,17299.000000,17392.699219,17392.699219,246400
2023-02-28,17383.250000,17440.449219,17255.199219,17303.949219,17303.949219,420900
2023-03-01,17360.099609,17467.750000,17345.250000,17450.900391,17450.900391,272900
2023-03-02,17421.500000,17445.800781,17306.000000,17321.900391,17321.900391,310700
2023-03-03,17451.250000,17644.750000,17427.699219,17594.349609,17594.349609,356200
2023-03-06,17680.349609,17799.949219,17671.949219,17711.449219,17711.449219,362800
2023-03-08,17665.750000,17766.500000,17602.250000,17754.400391,17754.400391,267000
2023-03-09,17772.050781,17772.349609,17573.599609,17589.599609,17589.599609,262400
2023-03-10,17443.800781,17451.500000,17324.349609,17412.900391,17412.900391,235900
2023-03-13,17421.900391,17529.900391,17113.449219,17154.300781,17154.300781,254900
2023-03-14,17160.550781,17224.650391,16987.099609,17043.300781,17043.300781,290600
2023-03-15,17166.449219,17211.349609,16938.900391,16972.150391,16972.150391,248200
2023-03-16,16994.650391,17062.449219,16850.150391,16985.599609,16985.599609,349800
2023-03-17,17111.800781,17145.800781,16958.150391,17100.050781,17100.050781,408100
2023-03-20,17066.599609,17066.599609,16828.349609,16988.400391,16988.400391,241800
2023-03-21,17060.400391,17127.699219,17016.000000,17107.500000,17107.500000,246700
2023-03-22,17177.449219,17207.250000,17107.849609,17151.900391,17151.900391,0
2023-03-23,17097.400391,17205.400391,17045.300781,17076.900391,17076.900391,219200
2023-03-24,17076.199219,17109.449219,16917.349609,16945.050781,16945.050781,228000
2023-03-27,16984.300781,17091.000000,16918.550781,16985.699219,16985.699219,218400
2023-03-28,17031.750000,17061.750000,16913.750000,16951.699219,16951.699219,238800
2023-03-29,16977.300781,17126.150391,16940.599609,17080.699219,17080.699219,345900
2023-03-31,17210.349609,17381.599609,17204.650391,17359.750000,17359.750000,263900
2023-04-03,17427.949219,17428.050781,17312.750000,17398.050781,17398.050781,230200
2023-04-05,17422.300781,17570.550781,17402.699219,17557.050781,17557.050781,248300
2023-04-06,17533.849609,17638.699219,17502.849609,17599.150391,17599.150391,242700
2023-04-10,17634.900391,17694.099609,17597.949219,17624.050781,17624.050781,254800
2023-04-11,17704.800781,17748.750000,17655.150391,17722.300781,17722.300781,304300
2023-04-12,17759.550781,17825.750000,17717.250000,17812.400391,17812.400391,232800
2023-04-13,17807.300781,17842.150391,17729.650391,17828.000000,17828.000000,285800
2023-04-17,17863.000000,17863.000000,17574.050781,17706.849609,17706.849609,357400
2023-04-18,17766.599609,17766.599609,17610.199219,17660.150391,17660.150391,258900
2023-04-19,17653.349609,17666.150391,17579.849609,17618.750000,17618.750000,281500
2023-04-20,17638.599609,17684.449219,17584.349609,17624.449219,17624.449219,215100
2023-04-21,17639.750000,17663.199219,17553.949219,17624.050781,17624.050781,230200
2023-04-24,17707.550781,17754.500000,17612.500000,17743.400391,17743.400391,255700
2023-04-25,17761.550781,17807.449219,17716.849609,17769.250000,17769.250000,297400
2023-04-26,17767.300781,17827.750000,17711.199219,17813.599609,17813.599609,233000
2023-04-27,17813.099609,17931.599609,17797.900391,17915.050781,17915.050781,241400
2023-04-28,17950.400391,18089.150391,17885.300781,18065.000000,18065.000000,290300
2023-05-02,18124.800781,18180.250000,18101.750000,18147.650391,18147.650391,265200
2023-05-03,18113.800781,18116.349609,18042.400391,18089.849609,18089.849609,226200
2023-05-04,18081.000000,18267.449219,18066.699219,18255.800781,18255.800781,226600
2023-05-05,18117.300781,18216.949219,18055.449219,18069.000000,18069.000000,239700
2023-05-08,18120.599609,18286.949219,18100.300781,18264.400391,18264.400391,228400
2023-05-09,18303.400391,18344.199219,18229.650391,18265.949219,18265.949219,245400
2023-05-10,18313.599609,18326.750000,18211.949219,18315.099609,18315.099609,220500
2023-05-11,18357.800781,18389.699219,18270.400391,18297.000000,18297.000000,248900
